Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2019-09-20 17:03:38,false,"Saanich Running","3.85","233","00:20:27","147","166","2.9","175","192","5:19","4:06","--","--","0.99","10.3","10.3","222","49.1% L / 50.9% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-20 16:20:31,false,"Saanich Running","7.36","431","00:32:14","171","185","4.6","177","256","4:23","2:26","2","2","1.26","8.1","9.7","229","50.6% L / 49.4% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:04.93","10","0.0"
Running,2019-09-20 15:37:18,false,"Saanich Running","4.56","253","00:21:04","153","174","3.2","177","205","4:37","3:07","--","--","1.15","9.1","10.5","235","49.7% L / 50.3% R","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.95","5","0.0"
Running,2019-09-19 09:42:12,false,"Saanich Running","2.11","148","00:10:01","--","--","--","180","190","4:44","3:39","--","--","1.18","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-19 08:04:53,false,"Saanich Running","4.54","318","00:20:30","--","--","--","179","188","4:31","3:10","43","43","1.24","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Swimming,2019-09-18 14:30:51,false,"Swimming","1,500","--","00:32:21","--","--","--","--","--","2:09","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.78","39","0.0"
Running,2019-09-17 17:08:36,false,"Saanich Running","3.76","260","00:18:05","--","--","--","177","187","4:49","3:36","2","--","1.17","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-17 16:21:48,false,"Saanich Running","5.62","372","00:29:06","--","--","--","168","235","5:11","1:27","5","6","1.13","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:16.88","12","0.0"
Running,2019-09-17 15:38:25,false,"Saanich Running","5.41","380","00:24:52","--","--","--","176","189","4:36","2:49","4","4","1.23","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:05.18","5","0.0"
Running,2019-09-15 08:41:49,false,"North Cowichan Running","14.91","1,051","01:10:01","--","--","--","178","188","4:42","3:49","86","89","1.19","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-14 10:23:51,false,"North Cowichan Running","3.13","71","00:16:00","--","--","--","180","189","5:06","4:15","17","13","1.09","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-14 09:43:21,false,"Workout","6.43","449","00:30:50","--","--","--","181","201","4:48","3:01","40","38","1.14","0.0","0.0","--","--","0.0","0.0","0.0","0:00","0.0","0:00","No","00:50.36","12","0.0"
